id,booth,country,lat,lng,loc,name,proj,website
0,3119A,ca,63.5954596,-135.8973759,"Mayo, Yukon",Banyan Gold Corp.,Aurex-McQuesten gold project,http://www.banyangold.com
1,3100A,us,39.5158825,-116.8537227,Nevada,Barrick Gold Corporation,Fourmile Goldrush Camp,http://www.barrick.com
2,3115A,ca,53.9128645,-122.7453699,"Prince George, British Columbia",Benchmark Metals Inc.,Lawyers Au-Ag project,http://www.benchmarkmetals.com
3,3118A,au,-30.5517551,136.8816645,Roxby Downs,BHP,Oak Dam FeO-Cu-Au project,http://www.bhp.com
4,3107A,ca,61.9798045,-132.4494915,"Ross River, Yukon Territory",Fireweed Zinc,Boundary Zone Zn-Pb-Ag project,http://www.fireweedzinc.com
5,3102A,ca,55.100373,-105.301208,"La Ronge, Saskatchewan",Forum Energy Metals,Janice Lake Cu-Ag project,http://www.forumenergymetals.com
6,3110A,ca,51.018938,-93.827362,"Red Lake, Ontario",Frontier Lithium,PAK Lithium project,http://www.frontierlithium.com
7,3111A,ca,48.7162203,-86.3758954,"Marathon, Ontario",Generation Mining Limited,Marathon palladium project,http://www.genmining.com
8,3103A,ca,54.8005133,-66.820626,"Schefferville, Quebec",Imperial Mining Group Ltd.,The Crater Lake scandium-rare earth project,http://www.imperialmgp.com
9,3113A,ec,-4.8536233,-79.1377246,"Zamora, Chinchipe",Luminex Resources,Camp Zone-Condor Au-Ag project,http://www.luminexresources.com
10,3106A,mx,27.0828453,-108.9235232,"Alamos, Sonora",Minaurum Gold Inc.,Alamos silver project,http://www.minaurum.com
11,3117A,ca,53.0227158,-78.7513534,"Wemindji, Quebec",Quebec Precious Metals Corporation,Sakami gold project,http://www.qpmcorp.ca
12,3105A,ca,48.23656,-79.02311,"Rouyn-Noranda (Cadillac), Quebec",Radisson Mining Resources Inc.,O'Brien gold project,http://www.radissonmining.com
13,3114A,pe,-6.7087189,-78.5314589,"Cajamarca, Hualgayoc",Regulus Resources Inc.,AntaKori Cu-Au-Ag project,http://www.regulusresources.com
14,3109A,ca,62.0887686,-136.2898984,"Carmacks, Yukon",Rockhaven Resources,Klaza Au-Ag project,http://www.rockhavenresources.com
15,3104A,ca,46.49272,-80.991211,"Sudbury, Ontario",Sudbury Integrated Nickel Operations,Norman West Cu-Ni-PGE project,http://www.glencore.ca
16,3112A,ca,58.3317708,-103.2483734,"Wollaston Lake, Saskatchewan",UEX Corporation,West Bear Co-Ni deposit,http://www.uexcorp.com
17,3116A,es,38.8780585,-6.9702048,Badajoz,Valoriza Mineria,Alconchel Cu-Au project,http://www.valorizamineria.com
18,3108A,ca,48.154177,-80.031281,"Kirkland Lake, Ontario",Warrior Gold Inc.,Goodfish Kirana gold property,http://www.warriorgoldinc.com
19,3101A,ca,50.111704,-120.7884227,"Merritt, British Columbia",Westhaven Ventures,Shovelnose gold discovery,http://www.westhavenventures.com
