category,name,website
diamond,Teck,http://www.teck.com/
platinum,BHP,http://www.bhp.com/
platinum,NEXA,https://www.nexaresources.com/
miningcountry,Peru,http://www.canadaperu.org/
miningcountry,Brasil,http://www.adimb.org.br/brasilpdac/
miningcountry,Invest in Canada,https://www.investircanada.ca/
patron,BMO,http://www.bmocm.com/
patron,CAT,http://www.cat.com/mining
patron,RioTinto,http://www.riotinto.com/
patron,TMX,http://www.tmx.com/en/index.html
patron,Lind Partners,http://thelindpartners.com/cgi-bin/index.pl
patron,Vale,http://www.vale.com/EN/Pages/Landing.aspx
patron,Wheaton,http://www.wheatonpm.com/Home/default.aspx
premier,Newmont Goldcorp,https://www.newmontgoldcorp.com/
premier,Anglo American,http://www.angloamerican.com/
premier,Franco Nevada,http://www.franco-nevada.com/
premier,MAJOR Drilling,http://www.majordrilling.com
premier,B2Gold,https://www.b2gold.com/
goldplus,Barrick,https://www.barrick.com/home/default.aspx
goldplus,IAMGOLD,http://www.iamgold.com/
goldplus,Pan American Silver,https://panamericansilver.com/
goldplus,Petra,http://www.petradatascience.com/
goldplus,Tourism Toronto,http://www.seetorontonow.com/
goldplus,AGNICO EAGLE,http://www.agnicoeagle.com/en/pages/default.aspx
goldplus,SNC Lavalin,https://www.snclavalin.com/en/markets-and-services/markets/minerals-and-metallurgy
goldplus,CIBC,http://www.cibccm.com/cibc-eportal-web/portal/wm?pageId=home&language=en_CA
goldplus,Lundin Group,https://www.thelundingroup.com/
goldplus,Napier-Reid,http://www.napier-reid.com/
goldplus,Worley,http://www.worley.com/
gold,BDO,http://www.bdo.ca/en/Industries/Natural-Resources/pages/default.aspx
gold,Endeavour,https://endeavourfinancial.com/
gold,Freeport McMoRan,http://www.fcx.com/
gold,Hard-Line,http://www.hard-line.com/
gold,Hudbay,https://www.hudbayminerals.com/English/Home/default.aspx
gold,INX,www.inxsoftware.com
gold,Mosaic,http://www.mosaicco.com/
gold,OceanaGold,http://www.oceanagold.com/
gold,PearTree,https://peartreecanada.com/
gold,RPA,http://www.rpacan.com/home.html
gold,The Great Trail,https://thegreattrail.ca/
gold,Schneider Electric,https://www.se.com/
bronze,RBC,https://www.rbccm.com/
bronze,Scotiabank,http://www.gbm.scotiabank.com/
bronze,Micon,https://www.micon-international.com/
bronze,IBK,http://www.ibkcapital.com/
bronze,Sprott Inc,http://www.sprottglobal.com/
